# source, target
0,75
0,39
1,104
1,343
1,272
2,342
3,24
4,343
5,143
5,62
6,85
7,240
8,151
9,295
9,181
9,193
9,37
9,305
9,297
10,268
11,188
11,183
11,201
11,291
11,244
12,25
12,260
13,194
14,195
15,125
15,179
16,218
16,82
16,310
17,327
18,334
18,200
19,77
19,53
19,301
20,162
21,54
22,72
23,311
24,289
24,172
24,167
26,217
27,302
28,132
29,311
30,261
31,146
32,137
33,292
34,36
35,182
37,318
38,270
40,335
41,79
41,213
42,165
42,121
42,301
43,134
43,348
44,83
45,85
46,185
47,317
48,88
49,77
49,64
50,181
50,273
51,167
52,169
53,91
54,229
55,219
56,158
57,303
57,248
58,220
58,267
58,162
59,238
59,134
60,296
61,193
61,249
61,334
63,310
65,101
65,85
65,225
66,174
66,347
67,220
67,301
68,345
69,335
70,170
70,204
70,181
70,80
70,310
71,239
72,193
72,288
72,307
73,216
74,327
74,222
76,215
77,186
77,319
77,94
78,280
80,275
81,242
82,217
83,242
84,238
84,332
84,122
84,106
85,308
85,234
86,210
87,265
88,277
89,124
90,314
90,310
91,176
91,290
92,349
92,182
92,346
93,321
93,227
95,130
96,295
96,110
96,233
96,228
96,337
97,187
98,275
99,135
100,223
101,347
102,298
103,152
103,111
104,343
105,330
106,238
107,164
107,329
107,287
107,175
107,266
108,116
109,290
110,295
110,337
110,228
110,233
112,173
112,258
112,340
112,208
112,219
112,338
113,121
114,207
115,292
117,171
117,305
118,159
119,185
120,252
121,301
122,238
122,312
122,329
122,332
123,205
123,177
125,221
125,179
126,210
126,166
127,272
127,141
128,281
129,148
129,224
130,344
131,208
133,223
133,206
133,336
134,238
135,212
135,184
136,289
136,167
136,156
138,142
139,216
139,253
139,250
140,218
142,277
144,341
144,214
145,259
147,193
149,187
150,193
153,238
154,235
155,261
157,304
158,313
158,241
160,193
160,185
161,275
162,285
162,200
162,197
162,230
162,326
163,305
163,168
164,329
165,301
166,210
167,289
167,193
168,305
173,219
175,329
176,286
177,275
178,300
178,192
178,310
179,221
179,294
180,210
181,329
182,349
182,346
182,262
185,220
186,193
187,198
187,279
189,193
189,191
190,257
191,193
191,307
193,267
193,307
195,203
196,305
197,230
197,200
199,248
200,285
200,230
202,333
203,276
203,243
203,206
205,276
205,328
208,324
209,269
210,274
211,309
213,317
213,271
216,245
216,269
216,348
217,316
218,310
219,269
219,271
219,258
219,340
219,338
220,301
223,293
223,248
226,256
227,254
228,337
228,233
231,259
232,299
232,320
233,295
233,337
234,308
235,240
236,322
237,305
238,269
238,332
246,331
246,270
247,248
248,327
248,305
249,307
249,288
251,259
251,335
254,297
255,301
259,324
263,301
264,339
275,331
275,278
276,328
282,299
282,284
283,301
288,307
295,337
298,345
301,325
305,328
305,323
306,315
346,349
